# 科目|考点（稳定匹配键）|一句白话（解释机制）|浓缩要点（保留考试术语，^^分段）；详细讲义内容另行展开。
科目一|金融市场五要素|金融市场就是让需要钱的人和有闲钱的人，按约定方式交换资金。|**主体、客体、交易价格、交易方式、交易中介**：依次回答谁交易、交易什么、什么价、怎样交易、谁促成交易。身份看本次交易，同一机构可以兼任供给者、需求者或中介。
科目一|金融工具、资产与产品|同一只股票，可以从交易、持有和产品设计三个角度看。|**金融工具**看交易单元；**金融资产**看持有者的权利和未来收益；**金融产品**看面向客户设计的组合或服务。三者并非互斥分类。
科目一|市场分类与功能|先问“按什么分”，再判断一笔融资属于哪一类。|期限：**货币市场**通常≤1年，**资本市场**>1年或无固定期限；融资关系：直接融资／间接融资。^^功能：资金融通、价格发现、资源配置、风险管理、效率提升、经济反映；**资金融通**是最基本功能。
科目一|受托管理与信义义务|别人把钱交给你，是请你认真管理，不是把所有损失都转给你。|**忠实义务**＝客户利益优先；**谨慎勤勉义务**＝专业尽责。管理人管投资，托管人保管监督；卖者尽责是买者自负的前提，违法违约责任不能转嫁给投资者。
科目一|资管机构与发展|做同一种“替人管钱”的生意，不代表拿同一张牌照。|银行理财、保险、信托、证券期货、公募与私募等分别受业务资格约束；按**机构—业务—产品—监管**定位。发展主线：萌芽起步→多层次探索→创新与规范→高质量发展。
科目一|养老与REITs机遇|养老解决以后靠什么生活，REITs把建好的项目变成可投资的资产。|养老三支柱：**基本养老保险／企业及职业年金／个人养老金及商业养老保险**。REITs通过盘活基础设施存量资产回收资金，支持再投资。
科目一|基金分类标准|基金像一个人可以有多个身份，每个标签回答不同问题。|募集对象：公募／私募；法律形式：契约型／公司型／合伙型；运作：开放式／封闭式；策略：主动／被动；投向：证券／股权等。**上市不等于封闭式**。
科目一|财产独立性|管理人的钱、托管人的钱、基金的钱，要分成不能混用的账本。|**基金财产独立**：单独管理、建账、核算，不用于抵销管理人或托管人的固有债务，不列入其清算财产。基金是独立会计主体，但未必是法人。
科目一|与其他金融品种比较|别看在哪里买，要看买到什么权利、收益从哪里来。|**股票＝股东权利；债券＝债权债务；基金＝信托关系**。存款形成对银行的债权，理财依实际投资运作，保险侧重风险保障；基金属于间接投资工具，不承诺固定收益。
科目一|运作环节与当事人|出钱、做投资、保管监督，分别交给三种角色。|合同三方：**持有人**出资并承担收益风险，**管理人**投资运作，**托管人**保管、复核与监督。生命周期：募集→投资→估值披露→分配→清算；销售、登记等属于服务机构。
