# 科目|章.节|讲义PDF页码(起-止)|考点|学习要点。人工整理，生成器不会从题目或关键词推断章名。
科目一|1.1|5-8|金融市场五要素|主体、客体、交易价格、交易方式、交易中介。金融机构可以同时是资金供给者、需求者和中介；中央银行兼具市场参与者与监管者身份。
科目一|1.1|7-8|金融工具、资产与产品|金融工具是交易的基础单元；金融资产代表持有者未来收益与合法权益；金融产品可组合多种工具，以满足特定客户需求。
科目一|1.1|8-9|市场分类与功能|按标的区分货币、资本、外汇、期货和衍生品、黄金市场；按融资方式区分直接与间接融资。功能包括资金融通、价格发现、资源配置、风险管理、效率提升和经济反映。
科目一|1.2|10|受托管理与信义义务|管理人负责投资管理，托管人负责财产托管。风险收益匹配、卖者尽责、买者自负是基本原则；卖者尽责是买者自负的前提。
科目一|1.2|10-13|资管机构与发展|资管机构包括基金、证券、期货、银行理财、保险、信托及私募基金管理人等。发展分萌芽式起步、多层次探索、创新和规范发展、高质量发展阶段。
科目一|1.2|14|养老与REITs机遇|养老保障分基本养老保险、企业及职业年金、个人养老金及商业养老保险三支柱；REITs有助于盘活基础设施存量资产、拓展投融资渠道。
科目一|2.1|17-19|基金分类标准|按募集方式分公募与私募；按投资标的区分证券与股权等基金；按法律形式分契约型、合伙型、公司型；按运作方式分开放式与封闭式；按策略分主动与被动。
科目一|2.1|19|财产独立性|基金财产独立于持有人、管理人和托管人的财产，账户独立、分别核算；基金未必是法人，但一定是独立会计主体。
科目一|2.1|20-22|与其他金融品种比较|股票体现股东权利，债券体现债权债务，基金体现信托关系。基金属于间接投资工具；基金与银行存款、银行理财、保险在性质、收益风险、发行及监管主体上不同。
科目一|2.2|23-24|运作环节与当事人|基金经历设计、募集、托管、投资、申赎登记、估值核算、披露、分配、清算。合同当事人为持有人、管理人、托管人，销售等机构属于服务机构。
科目一|2.2|24-25|持有人大会规则|一般由管理人召集，依法可由托管人或符合条件的持有人等召集；至少提前30日公告。首次召开须代表1/2以上份额参加，一般决议须参会表决权1/2以上通过，特别决议须2/3以上通过。
科目一|2.2|25|大会再次召集|首次参加份额不足时，可在原定召开日3个月以后、6个月以内就原事项重新召集；重新召集须代表1/3以上份额参加。
科目一|2.3|26-28|基金起源和发展|1868年英国海外及殖民地政府信托是世界首只公认的证券投资基金；1924年马萨诸塞投资信托是开放式公司型共同基金的代表。区分公募基金与私募基金各自的发展脉络。
科目一|2.3|28|基金行业作用|公募基金拓宽居民投资渠道、稳定资本市场、服务实体经济并促进对外开放；私募基金发挥长期资本作用，支持科技创新和企业发展。
科目一|3.1|31-32|法律效力层级|国家法律由全国人大及其常委会制定；行政法规由国务院制定；部门规章和规范性文件由有关行政机关制定；自律规则由行业协会、交易场所等制定。
科目一|3.1|33-35|法律适用与规则体系|《证券投资基金法》是基金行业下位法规的总纲，以信托关系和双受托人机制保护财产独立。未规定事项适用《信托法》《证券法》等；公司型、合伙型主体还分别适用相应组织法。
科目一|3.2|35-37|监管目标、原则与措施|基金监管保护投资者和相关当事人权益、规范行业并维护市场秩序。区分行政监管措施、行政处罚与司法措施，不能把协会自律处分当作证监会行政监管措施。
科目一|3.2|38|人民银行与外汇局|人民银行组织协调反洗钱、进行资金监测并监督检查义务履行；外汇局承担基金行业相关外汇管理职责。监管机关职责归本节，机构具体反洗钱义务归第五章。
科目一|3.3|39-40|协会自律|基金业协会是证券投资基金行业自律性组织，区分普通、联席、观察及特别会员。协会履行登记备案、从业人员管理、执业标准和投资者教育等职责。
科目一|3.3|41-43|交易场所自律|证券交易所承担组织交易、上市及交易行为监管等职责；期货交易所、全国股转系统、银行间市场等有各自自律规则和业务边界。
科目一|4.1|44-46|公募管理人准入与退出|设立公募基金管理公司须满足资本、股东、人员、场所和内控制度等条件；注册资本不低于1亿元且为实缴货币资本。退出包括解散、撤销和破产等不同情形及程序。
科目一|4.1|47-49|职责、治理与经营|管理人承担募集备案、分别管理记账、投资、净值计算、分配、报告和代表持有人等职责。股东会、董事会和经理层权限应清晰；独立董事参与重大关联交易、审计等决策。
