# 科目|考点|补充必背（用^^分条）|易混易错|理解速记；复习优先级不代表考试命题频率，例子为辅助理解。
科目一|金融市场五要素|主体按动机还可分筹资者、投资者、投机者、套期保值者、套利者和调控监管者。政府与企业通常是需求方，个人通常是供给方。^^交易价格是资金融通的对价：借贷看利率，证券竞价按价格优先、时间优先，开放式基金申赎一般按未知价。|主体身份随交易改变；个人借款也是需求方，企业投资闲置资金也是供给方。套保为对冲风险，投机为获取价格波动收益。|用“谁交易、交易什么、什么价格、怎样交易、谁做中介”还原五要素，看到案例先逐项定位。
科目一|金融工具、资产与产品|金融工具强调标准化、可交易的基础单元，如股票、债券、期货合约；金融资产强调持有者的权利与未来收益。^^金融产品强调为客户需求设计的组合或服务，一个产品可包含多个金融工具；基金可持有股票、债券等资产。|同一对象可以从不同角度归入不同概念，三者不是相互排斥的分类；购买了产品不等于获得保本承诺。|例如一只股票是工具；某投资者持有的股票是其金融资产；把多种股票组合为基金则体现产品设计。
科目一|市场分类与功能|货币市场通常融通不超过1年的短期资金，包括拆借、回购、票据、大额可转让存单；资本市场融通1年以上或无固定期限资金。^^按交割期限分现货与期货、衍生品市场；按地域分国内与国际。资金融通是最基本功能，价格发现源于供需形成价格。|直接融资中即使有证券公司承销，也不等于银行存贷式间接融资；“基金是间接投资工具”与融资分类不是同一维度。|先找分类依据再找品种：期限→货币/资本；资金关系→直接/间接；交割→现货/远期；六功能记“融、价、配、险、效、映”。
科目一|受托管理与信义义务|资产管理接受投资者委托，围绕约定目标、范围和策略管理财产；忠实义务要求客户利益优先，谨慎勤勉义务要求专业尽责。^^管理人与托管人按分工履职，投资风险由投资者承担，但机构因违法违约造成的损失不能简单推给投资者。|“买者自负”不免除适当性、风险揭示和勤勉义务；尽责不等于必须盈利，正常市场损失不自动等于失职。|案例判断先问“有没有尽责”，再问“损失由什么造成”；把卖者责任与市场风险分开分析。
科目一|资管机构与发展|银行理财、保险资管、信托、证券期货资管、公募与私募基金等具有不同业务资格、服务对象及产品规则。^^发展主线是从早期探索、多层次扩张走向统一规范与高质量发展；公募基金管理业务需经证监会批准。|机构的牌照、管理人的资格和产品的注册备案是不同层次；不能因为同属资管行业就套用同一门槛和监管规则。|记忆采用“机构—业务—产品—监管”四列；做主体题时先识别它以什么身份开展哪项业务。
科目一|养老与REITs机遇|第一支柱为基本养老保险；第二支柱为企业年金、职业年金；第三支柱包括个人养老金及商业养老保险。^^基础设施REITs把缺乏流动性的存量基础设施转化为可投资的金融产品，有助于回收资金再投入新项目。|养老三支柱按保障体系区分，不能把企业年金放进个人养老金；REITs并非银行存款，也不保证分红或本金。|记“基本—单位补充—个人补充”；REITs记“盘活存量、形成循环”，同时留意项目运营与现金流风险。
科目一|基金分类标准|契约型依基金合同设立，公司型依公司组织形式设立，合伙型依合伙协议设立；主动策略力求超越基准，被动策略力求跟踪基准。^^开放式份额可变并按规定申赎，封闭式份额在存续期内相对固定；公募与私募的核心区别是募集对象和募集方式。|“上市”不等于“封闭式”：ETF、LOF也可上市。法律形式、运作方式、投资策略不能混成一组分类。|同一基金可以同时具有“公募、契约型、开放式、股票型、被动型”等标签；每个标签回答一个不同问题。
科目一|财产独立性|基金财产单独管理、单独记账，管理人、托管人的固有债务不得由基金财产承担；不同基金之间也应分别管理。^^基金财产不属于管理人或托管人的清算财产，不能用它抵销管理人、托管人的固有债务。|独立会计主体不等于独立法人；独立托管也不意味着托管人拥有基金财产或保证投资收益。|记“谁管理≠谁所有，谁托管≠谁担保”；把自有财产、基金A、基金B想成三本不能混用的账。
科目一|与其他金融品种比较|股票持有人是股东、债券持有人是债权人，基金持有人按份额分享组合收益与风险；基金通常通过组合分散个别证券风险。^^存款主要形成存款人与银行之间的债权债务关系；银行理财按实际投资收益运作，保险强调风险保障并依合同给付。|基金不是存款，不保证固定收益；“基金风险一定低于任何股票或债券”过于绝对，应结合具体基金投向判断。|比较题固定看四项：法律关系、资金投向、收益来源、风险承担。先看产品实质，再看销售渠道。
科目一|运作环节与当事人|持有人出资、享受收益并承担风险；管理人负责投资运作；托管人负责保管、清算交割、复核与监督。^^销售、登记、估值核算、律师和会计师等提供专业服务；监管机构与自律组织负责监管或自律，不是基金合同三方当事人。|基金销售机构不是当然的基金管理人；登记机构记录份额不等于负责投资决策，托管人监督不取代管理人投资。|流程串记“募集→投资运作→估值披露→收益分配→终止清算”，每一步都能指出主要责任主体。
科目一|持有人大会规则|达到法定条件的事项由持有人大会决策，不得就未经公告的事项表决；会议可以现场、通讯等方式召开。^^一般决议以参会表决权1/2以上通过；特别决议以2/3以上通过，转换运作方式、更换管理人或托管人、提前终止合同、合并等注意特别决议要求。|召开门槛的分母是基金总份额，决议门槛的分母是参会表决权；不能把“参加过半”和“赞成过半”当成同一个条件。|算例：总份额100，60参会，普通事项至少30赞成，特别事项至少40赞成；同时检查是否属于依法或依约无需开会的例外。
科目一|大会再次召集|重新召集限于原定审议事项；时间窗是原定召开时间3个月以后、6个月以内，参加门槛降至总份额1/3以上。^^重新召集放宽的是会议参加份额门槛，不是一般决议或特别决议的表决通过比例。|不要把重新召集参加门槛1/3记为特别决议通过门槛；也不能理解为首次未成会就可立即重新开会。|对照背：首次1/2、重召1/3；重召时间3至6个月；普通表决1/2、特别表决2/3。
科目一|基金起源和发展|英国是证券投资基金发源地，美国推动现代共同基金发展；1868年与1924年对应不同历史节点。^^中国基金业发展要区分早期探索、规范化发展与后续创新；公募与私募的制度演进不能只按同一时间线套用。|“最早基金”与“第一只开放式公司型基金”问法不同；2007年基金公司会员部与2012年基金业协会成立也不是同一事件。|按“国家—年份—机构—意义”记历史；1868英国起源、1924美国现代开放式代表，不只背年份。
科目一|基金行业作用|公募以较低门槛和专业管理提供居民理财渠道，机构投资者参与有助于提高市场定价效率并服务直接融资。^^私募股权、创业投资基金为企业提供长期资本和经营支持，推动科技创新、产业升级和企业成长。|“稳定市场”不等于能消除市场下跌；行业作用是总体经济功能，不是对某只基金未来业绩的承诺。|将作用对应三方：居民获得渠道、企业获得资金、市场获得专业定价和长期资本。
科目一|法律效力层级|全国人大及其常委会制定法律，国务院制定行政法规；证监会等部门在权限内制定部门规章和规范性文件。^^自律组织依法律和章程制定规则，机构内部制度落实外部要求；遇不同规定应先辨认制定主体、效力层级及适用范围。|协会规则不是行政法规，证监会文件也不全部都是法律；文件名字含“办法”不足以判断它的效力层级。|判断题先圈制定机关，再看文件形式与权限。记“人大法律、国务院行政法规、部门规章、行业自律”。
科目一|法律适用与规则体系|基金法围绕基金募集、运作、管理托管、持有人权利和监督管理形成制度框架；双受托人机制把管理与托管职责分开。^^不同法律关注不同问题：基金法关注基金业务，公司法或合伙企业法关注组织形式，证券法等补充相应交易和市场规则。|不能因基金法是行业总纲，就认定基金业务只适用一部法律；公司型基金的组织规则也不能直接套给契约型基金。|按“产品业务用基金规则，组织结构看组织法，具体交易看市场规则”建立适用顺序。
科目一|监管目标、原则与措施|证监会行政监管包括监督检查、责令改正、监管谈话等；对问题公募管理人还可限制业务、限制分红、要求更换人员或停业整顿等。^^行政处罚针对违法行为依法处罚；司法机关依法采取司法措施。行政机关需申请司法机关的事项不能说成可自行作出司法裁判。|协会纪律处分属于自律管理；罚款、监管谈话、刑事处罚三者性质不同，不可仅因都有惩戒效果就混为一类。|案例先定位“谁处理”，再判断“采取什么措施、依据何种权限”；投资者保护是贯穿监管的主线。
科目一|人民银行与外汇局|人民银行负责组织协调反洗钱、资金监测、制定相关规定、监督检查与职责范围内的可疑交易调查。^^外汇局对QDII外汇资格、额度、资金汇出入及国际收支申报等实施管理；证监会与外汇局按职责共同监管境外证券投资。|反洗钱监管不是保证基金收益；外汇局监管跨境资金不等于承担基金投资决策或份额净值计算职责。|记“人行看洗钱资金链，外汇局看跨境资金流”，机构自身客户尽调和报告义务另行记忆。
科目一|协会自律|沿革：2001年基金公会，2002年证券投资基金业委员会，2007年基金公司会员部，2012年6月6日基金业协会成立。^^普通会员含公募管理人、托管人及符合条件私募管理人；联席为基金服务机构；观察为其他私募管理人；特别含交易所、登记结算机构、指数公司等。同一机构依普通、联席、观察、特别次序选择。|2007年题干对应“基金公司会员部”，不是“基金公会”；独立销售机构是联席会员，指数公司是特别会员。登记备案不是收益背书。|按“早期公会→委员会→会员部→独立协会”串时间；会员记“管托普通、服务联席、其余私募观察、交易指数特别”。
科目一|交易场所自律|证券交易所组织集中交易，对上市、交易行为、会员等实施自律；期货交易所围绕期货合约与交易结算实行规则管理。^^全国股转系统、银行间市场有各自业务范围和自律安排；交易场所与登记结算机构并非同一主体。|上市审查、交易监管、份额登记、资产托管是不同职能；不能把全部交易场所都称为证券交易所。|看到“组织成交”先想到交易场所；看到“登记、清算、交收”再识别对应登记结算机构。
科目一|公募管理人准入与退出|设立公募基金管理公司，注册资本须不低于1亿元且为实缴货币资本，并满足股东、人员、营业场所及内控制度要求。^^管理人解散、撤销、破产属于不同退出情形；退出时须处理存续业务、基金财产和资料交接，保护持有人权益。|公募管理公司的1亿元门槛与私募管理人的1000万元门槛不能混记；管理人退出不等于基金财产可用于清偿其自有债务。|准入按“钱、人、股东、场所系统、制度”五项背；退出按“触发原因—批准程序—财产交接”检查。
科目一|职责、治理与经营|管理人募集备案、分别管理记账、投资、计算净值、分配收益、编制报告，并以管理人名义代表持有人利益行使诉讼等权利。^^治理层次包括股东会、董事会、监事或审计委员会、经理层；独立董事应独立履职，经营决策与监督制衡相配合。|管理人“计算”净值，托管人“复核”净值；股东不得越过治理程序直接干预基金投资，不能把基金财产当作股东资产。|用“决策—执行—监督”画职责表；有计算、投资和编制字样先辨管理职责，有复核监督字样先辨托管职责。
科目一|国际化与风险准备金|风险准备金从管理基金的报酬中计提，可用于赔偿因违法违规、违反合同等导致的基金或持有人损失。^^讲义列示净资产低于5000万元，或可运用流动资产低于2000万元且低于上年营业支出等情形，可触发监管措施及限期改善要求。|风险准备金不是市场亏损保本池；“低于2000万元且低于上年营业支出”中的“且”不能改成“或”。|QDII记境内资金向境外投；风险准备金记“管理报酬提取、特定责任赔偿”，把用途与普通投资损益分开。
科目一|私募管理人登记与退出|实缴货币资本一般不低于1000万元人民币或等值可自由兑换货币；专管创投基金另有规定的从其规定，并审查股权、人员与经营条件。^^管理人登记解决机构身份，产品备案解决基金产品信息；撤销与注销有不同原因和程序，存续基金善后义务仍须履行。|登记成功不等于所有产品已备案，更不代表监管或协会保证投资收益；不得把创投例外推广到所有私募管理人。|做流程题先明确对象是“管理人”还是“产品”，再分登记、备案、变更、注销四类动作。
科目一|私募管理人职责与治理|授权应贯穿募集、研究、投资运作、运营保障和披露等主要环节，明确授权标准、程序和权限。^^外包以可控为原则，建立相应风险管理框架，至少每年开展一次全面外包业务风险评估。|把业务外包不等于把管理责任外包；授权并非口头默许，也不能让不相容岗位因节省人员而失去制衡。|用“谁能做、能做多少、谁复核、如何留痕”检查授权；外包记“有制度、可控制、每年评估”。
科目一|托管准入与独立性|托管人须具备合格人员、安全保管资产条件、业务场所和系统、清算交割能力及内控制度。^^管理人与托管人不得为同一机构，不得相互出资或者持股，基金资产与托管人固有资产分别管理。|托管独立性不只体现为换一个部门；资产交由托管不意味着投资风险由托管银行承担。|记“主体独立、财产独立、人员系统合格”；不要把“托管银行信誉好”理解为基金获得银行担保。
科目一|托管职责与终止|发现尚未执行的违法违规投资指令，应拒绝执行、通知管理人并及时报告；已依交易程序生效的违规指令应及时通知并报告。^^托管人监督投资、办理清算交割、复核净值及相关报告；职责终止后依法审计并妥善交接，保持财产安全和业务连续。|“拒绝执行”与“已生效后报告”对应不同时间状态；托管监督不能替代管理人的选股择券决策。|题目先判断指令“未执行还是已生效”，再匹配拒绝、通知、报告；终止时记“保管不停、审计交接”。
科目一|服务机构范围与准入|销售负责产品推介和申赎服务，销售支付负责资金支付，登记负责账户和份额记录，估值核算机构提供专业核算服务。^^投资顾问、评价、信息技术、律师和会计师等各有服务边界；业务资格应按相应注册、登记或备案规则取得。|取得一种服务资格不代表可以经营所有基金业务；评价机构作排名不等于能代客投资，销售支付不等于拥有客户资金。|将服务链拆为“卖、付、记、算、顾、评、技术、法律审计”，题目按具体工作内容定位机构。
科目一|服务机构业务规范|销售结算资金、基金份额与机构自有财产独立，机构破产清算时不纳入其清算财产。^^履行勤勉、保密等义务，按约定和规则提供服务；已经承诺提供的基金服务业务不得转包或变相转包。|业务合作不当然等于合法转包；保密不因委托结束而当然终止，客户资金也不能临时挪作机构周转。|案例检查三条底线：资金有没有混用、信息有没有泄露、服务有没有违规转包。
科目一|任职、离职与资格管理|董事长、总经理、督察长、分支机构负责人不能履职时，按规定15个工作日内决定代职人，代职不超过6个月，决定后5个工作日内报告。^^拟代行基金经理职责超过30日的，自决定日起3个工作日内报告并作相关披露；离职后的保密和责任追究不因离职自动解除。|代履职的一般高管规则与基金经理规则数字不同；“有从业资格”也不等于可越权担任全部岗位。|分两组记“高管15、6、5；经理超30、报3”，同时记住数字单位是工作日、月或日。
科目一|证券投资申报与执业规范|证券投资申报覆盖本人、配偶及利害关系人，按规定申报账户、持仓和变动，遵循长期投资及利益冲突管理要求。^^转任其他公募管理公司或托管部门的，从任职日起15个工作日内向新任职单位报告基金投资情况。|证券投资申报和基金投资报告是不同口径；经申报不意味着可以利用未公开信息交易，也不能借亲属账户规避限制。|先辨“谁的账户、投资什么、何时报告”；申报解决透明度，禁止行为解决合法性，两道要求同时遵守。
科目一|绩效考核与薪酬|考核应兼顾长期收益、合规、风险管理和投资者利益，避免单纯规模或短期排名导向；薪酬应与长期表现相匹配。^^递延支付把部分薪酬留待后续检验，跟投强化利益一致性，追索扣回用于追究违法违规或不当履职等责任。|递延支付不等于扣罚，跟投不等于保本承诺；短期高收益不能抵销合规问题，也不能保证递延薪酬必定兑现。|三个机制记“以后发、一起投、出问题追回”，分别对应时间约束、利益绑定与责任追究。
科目一|廉洁从业职责|经营机构承担主体责任，将廉洁风险纳入全面风险管理，覆盖投资交易、销售、采购与外部合作等环节。^^每年4月30日前向证监会有关派出机构报送上年度廉洁从业管理情况报告；重大问题按规定另行报告。|廉洁从业不仅针对收礼员工，还涉及机构制度、合作方和业务流程；年度报告不能代替重大事件报告。|用“制度管人、流程管事、报告留痕”串联；案例里既查个人有没有受益，也查机构有没有尽管理责任。
科目一|利益输送禁令|不当利益包括礼金礼品、回扣、违规宴请接待、旅游安排及其他利益安排；需结合目的、对象与业务关联判断。^^正常业务接待仍须符合内部决策程序和费用标准，不能用报销、咨询费或第三方支付掩盖利益输送。|没有直接现金往来也可能构成不当利益；称作“正常商务往来”不能当然免责，关键看是否谋取不正当利益。|沿“谁出钱、谁受益、换来什么、是否合规审批”追踪，不被礼物或费用名目迷惑。
科目一|公募募集与申赎|顺序为申请注册→取得注册文件→6个月内发售→一般不超过3个月募集→验资备案→合同生效；不同产品成立条件分别判断。^^募集失败，管理人以固有财产承担募集债务费用，募集期届满后30日内返还投资款并加计同期存款利息。|注册通过不是合同已生效；募集期购买称认购，成立后购买通常称申购，不能混淆两个价格和收费阶段。|时间链记“获准6个月发售、募集一般3个月、失败30日退款”；先定位题目处在流程哪一步。
科目一|销售与投资者适当性|适当性流程包括了解客户、了解产品、风险分级、匹配销售、风险揭示并留痕；普通投资者获得特别保护。^^法定专业投资者与普通转专业有不同条件，转化不永久固定；判断应核对资产、收入、经验及身份等全部要求。|不得把“签署风险书”当作免除销售责任；适当性匹配不是保证盈利，也不能通过诱导客户修改测评答案实现匹配。|销售案例按“产品是否了解、客户是否识别、风险是否匹配、是否充分告知”四问排查。
科目一|公募投资与交易限制|投资范围和比例同时受法律、合同约束，应落实公平交易，防范不同组合之间或关联方之间的利益输送。^^重大关联交易须提交董事会审议并经2/3以上独立董事通过，董事会至少每半年审查关联交易事项。|关联交易不是一概禁止，但需遵循持有人利益优先、公允价格和审批披露等要求；普通董事比例不能替代独立董事比例。|关联交易记“利益优先、价格公允、独董2/3、半年审查”；把交易是否允许与程序是否合规分别判断。
科目一|信息披露与终止清算|年度报告在年末后3个月内、中期报告在半年结束后2个月内、季度报告在季度结束后15个工作日内编制完成；生效不足2个月可不编当期定期报告。^^终止后依法组织清算，完成资产清理、债权债务处理、剩余财产分配和清算报告，不等于立即把所有资产平均分给持有人。|年度“3个月”、季度“15个工作日”不可互换；终止合同、资产清算、分配财产是不同环节。|时间口诀“年3月、半年2月、季15工作日”；清算顺序记“清资产→清债务→分剩余→作报告”。
科目一|资管计划募集与备案|合格自然人须有2年以上投资经历，并满足家庭金融净资产300万元、家庭金融资产500万元或近3年本人年均收入40万元之一；法人一般看最近1年末净资产1000万元。^^单只固定收益类30万元、混合类40万元、权益及期货衍生品类100万元起投；非标投资等另有100万元要求，不能只看产品名称。|私募资管计划门槛与私募基金“单只100万元、个人300万或年均50万”不同；单一计划可依约不托管不等于无需安全措施。|先判产品体系再背数字，避免把“家庭资产”与“个人金融资产”混用；初始募集规模一般不低于1000万元。
科目一|投向、运作与分级|固定收益、权益、商品及金融衍生品类按主要资产比例分类，不符合单一类别标准的归混合类；开放或封闭按参与退出安排判断。^^非标准化资产强调资产期限与资金期限匹配，分级产品优先劣后风险分担不同，杠杆约束须结合具体类别核对。|投向分类、运作方式与是否分级是三组独立标签；优先级不等于保本，短资金配长期非标可能带来流动性错配。|先画负债端“资金何时退出”，再画资产端“投资何时回收”；错位越大，越需关注流动性安排。
科目一|风险、关联交易与退出|资管计划风险准备金计提比例不低于管理费收入10%，余额达到上季末计划资产净值1%时可以不再提取。^^变更合同依规定和约定履行同意程序并保障退出选择；关联交易管理、净值报告和终止清算持续履行。|10%的分母是管理费收入，1%的分母是上季末计划资产净值；风险准备金用于特定责任损失，不能宣称兜底投资亏损。|计算先写分母：费收入×10%，规模净值×1%；合同变化检查“谁同意、何时告知、不同意能否退出”。
科目一|私募募集边界与流程|单只私募基金投资金额不低于100万元；单位净资产不低于1000万元，个人金融资产不低于300万元或近3年个人年均收入不低于50万元，并具备相应风险能力。^^流程依次落实特定对象确认、适当性匹配、风险揭示、合格投资者确认、合同签署及适用冷静期回访；不得拆分、代持规避门槛。|100万元起投与300万元资产门槛是同时考查的不同条件；房产不直接等于金融资产，“公开宣传后筛选客户”不能补救非公开募集要求。|数字链“单只100、单位1000、个人300或50”；先锁定特定对象，再推介产品。
科目一|基金备案与变更|完成募集后按规定办理产品备案，持续报送真实准确完整信息；基金名称、类型和策略应与实际业务相符。^^完成备案前一般不得开展投资运作，但可为现金管理投资银行活期存款、国债、央行票据、货币市场基金等认可工具。|备案不是行政许可、投资价值认可或收益担保；不能把备案前现金管理例外扩大为股票、长期股权等投资许可。|记“先募集再备案，备案前仅合规现金管理”；重大事项变化要持续更新，备案不是一次填表后永不维护。
科目一|私募基金持续运作|募集、投资、管理、退出全过程落实财产隔离、净值化估值、费用核算、信息披露与报送；策略、合同和实际投向应一致。^^基金不托管须有适用合同约定并明确财产安全制度措施与纠纷解决机制；终止后仍应清算并处理投资者权益。|不能通过备案后短期赎回形成“过桥募集”，也不能以投资者已同意为由挪用资产、利益输送或不履行法定义务。|用“募投管退”四格复盘：钱怎么进、投到哪里、如何估值披露、如何退出分配。
科目一|反洗钱义务与尽调|客户尽调不仅识别名义账户人，还要识别、核实受益所有人，了解业务关系目的、性质及交易背景，并持续关注异常。^^依风险状况采取相适应的尽调措施，建立内控制度、培训和审计监督；可疑迹象出现后按制度升级处理。|风险为本不等于所有客户同样审查，也不等于一有风险便拒绝所有服务；客户是熟人或老客户不能当然豁免尽调。|从“客户是谁、真正受益人是谁、资金为何流转”三问开始，贯穿开户、持续交易与关系终止。
科目一|交易报告、保存与保密|大额报告以达到规定金额等条件为触发，可疑报告以合理怀疑洗钱等风险为触发，两者可能同时适用。^^按本讲义，身份资料自业务关系结束后、交易信息自交易结束后至少保存10年；两个保存起算点不同。|未达到大额标准不代表不需可疑报告；不能向客户泄露可疑报告信息。不得沿用旧讲义的5年保存口径。|记“金额看大额、异常看可疑；身份从关系结束算、交易从交易结束算”，并将报告与保密同时落实。
科目一|合规与基本原则|合规覆盖法律法规、监管规定、自律规则和适用行为准则，贯穿决策、执行、监督及全员执业活动。^^独立性使合规意见不受业务利益不当干预，权威性确保意见能传达落实，有效性要求识别风险并整改。|合规不是合规部门一家的责任；“未被处罚”不等于已经合规，事后补手续也不能当然使原违法行为合法。|看案例中的目标冲突：当收入或规模与合规要求矛盾时，合规底线不能让位于短期经营目标。
科目一|合规职责与保障|董事会审议合规制度和年度报告并考核合规负责人，管理层负责落实，业务部门承担本部门业务合规责任。^^合规负责人及部门独立组织审查、检查、咨询和报告，机构保障人员、经费、知情权与直接报告渠道。|业务经过合规审查不免除业务部门自身责任；合规人员不能因兼任被监督业务而削弱独立性。|责任链记“董事会定监督、管理层抓落实、业务部门直接负责、合规部门独立监督”。
科目一|合规管理活动|事前制定政策、咨询与审查，事中检查和监测，事后报告、整改与跟踪；培训贯穿各阶段。^^投资、销售、披露、反洗钱等均为重点，发现问题需明确责任人、整改措施和期限并验证闭环。|合规咨询不是收益预测，形式上有报告不代表问题已解决；发现问题只口头提醒而不跟踪整改不构成完整闭环。|记“识别→审查→监测→报告→整改→复核”，把培训和制度更新连回业务流程。
